Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
The Chemours Company,6100,7000,Chemical Manufacturing,"Titanium Technologies, Advanced Performance Materials, Thermal & Specialized Solutions, Chemical Solutions",Public Company,United States,Wilmington,EST
Elbit Systems of America,3500,3000,Defense and Space Manufacturing,"Defense Electronics, Homeland Security, Commercial Aviation, Medical Instrumentation, Unmanned Aircraft Systems",Public Company,United States,Fort Worth,EST
AgileThought,200,2200,IT Services and IT Consulting,"Web & Mobile Application Development, User Interface & Experience Design (UI/UX), SharePoint Solutions, Agile Coaching & Training, Business Intelligence, Cloud Solutions & Managed Services, Application Lifecycle Management; ALM & DevOps, Rapid Prototyping, DevOps, Predictive Analytics, Machine Learning, Cloud, Azure, Agile Transformation, Agile, DevSecOps, Consulting, Automation",Privately Held,United States,Irving,EST
Qualfon,400,10000,Outsourcing and Offshoring Consulting,"Call Centers and Contact Centers, Technical Support, Business Process Outsourcing (BPO), Social Media Support, Back-Office Processing, Claims Management, Customer Service, Escalations, Retention, Sales, Up-Selling/Cross-Selling, Proactive Online Chat Services, print, Fulfillment , warehouse, data analytics, marketing services , Direct Mail , Creative Services ",Privately Held,United States,Highland Park,EST
1st Source Bank,300,1150,Banking,"Retail Banking, Private Banking, Business Banking, Online Banking and Bill Payment Services, Cash Management Services, Trust and Wealth Management, Investments, Financial Planning, Insurance, Specialty Finance, Agricultural Services",Public Company,United States,South Bend,EST
"JELD-WEN, Inc.",4200,23000,Wholesale Building Materials,"Windows, Exterior Doors, Interior Doors, Patio Doors, Exterior Trim and Panels, Building Products, Manufacturing, Architectural Design, Product Engineering, Commercial Design",Public Company,United States,Charlotte,EST
Ceridian,900,4200,Computer Software,"Onboarding, Payroll, Performance Management, Time & Attendance, Benefits, Document Management, Workforce Management, Dashboards, Recruiting, Learning, Succession Planning, On-Demand Pay",Public Company,United States,Minneapolis,EST
Sleep Number Corporation,1700,4100,Retail,"Beds, Mattresses, Adjustable Beds, Bedding, Pillows, Sleep Technology, health and wellness",Public Company,United States,Minneapolis,EST
Johnsonville,1400,2400,Food and Beverage Manufacturing,"""Family Owned Since 1945""​",Privately Held,United States,Sheboygan Falls,EST
"Baker Concrete Construction, Inc.",1500,9000,Construction,"Concrete Construction Contractor, Nuclear, Energy, Petro-Chemical, Heavy Industrial",Privately Held,United States,Monroe,EST
Qatar Chemical Company,2200,750,Chemicals,"Petrochemicals, High Density Polyethylene, Polyethylene, 1-Hexene, Normal Alpha-Olefins",Partnership,Qatar,Doha,AST
Canon Business Process Services,500,1400,Outsourcing and Offshoring Consulting,"Business Process Outsourcing, Business Process Imaging, Robotic Process Automation, Intelligent Automation, Warehouse and Distribution Center Services, Digital Transformation Services, Digital Mailroom, Print Center Services, Office Services, Smart Office Innovations",Public Company,United States,New York,EST
Outbrain,320,800,Software Development,"Open Web, Digital Advertising, Engagement, AI, Branding",Public Company,United States,New York,EST
Solidigm,1100,2200,Computer Hardware Manufacturing,,Privately Held,United States,Rancho Cordova,EST
Devon Energy,5700,1400,Oil and Gas,"Oil, Natural Gas, Natural Gas Liquids, Energy, Exploration, Production, Data Science, Technology, Health & Safety, Geology, Geophysics, Engineering, Petroleum Engineering, Accounting, Finance, Geoscience, IT, Project Management, Reservoir Engineering, Analytics, Accounting, Intelligent Automation, Artificial Intelligence, Robotic Process Automation",Public Company,United States,Oklahoma City,EST
Farm Credit Mid-America,800,1200,Financial Services,"Country Home Loans, Crop Insurance, Loans, Leases",Privately Held,United States,Jeffersontown,EST
TBC Corporation,3500,10400,Motor Vehicle Manufacturing,"Tires, Automotive Service, Tire Service & Repair, Oil, Lube & Filters, Routine Services & Fluids, Batteries, Brakes, Alignment, Suspension & Front End",Privately Held,United States,Palm Beach Gardens,EST
"Jeppesen, a Boeing Company",400,3100,Airlines and Aviation,Jeppesen creates electronic and paper charting and offers operational support for the aviation and marine industries.  Jeppesen also provides logistical assistance to land-based operators.,Privately Held,United States,Denver,EST
Generac Power Systems,3200,6200,"Appliances, Electrical, and Electronics Manufacturing","Power Generation, Generators, Engines, Pressure Washers, Industrial Solutions, Energy Storage Solutions, Back up Power, Mobile Products, Inverters, Portable Power, Power Tools",Public Company,United States,Waukesha,EST
Virgin Galactic,150,800,Aviation and Aerospace Component Manufacturing,"Human Spaceflight, Satellite Launch, Space Research, SpaceShipTwo, WhiteKnightTwo, LauncherOne, Aerospace, Virgin Galactic, Space Travel",Public Company,United States,Tustin,EST
Atmel Corporation,900,5200,Semiconductor Manufacturing,"Microcontroller Solutions (8- and 32--bit), Automotive Solutions, Touch Technology Solutions, Embedded Software - Studio 6, Wireless Solutions, Internet of Things Solutions",Public Company,United States,San Jose,EST
Armstrong World Industries,1200,3100,Building Materials,"Commercial Ceilings and Wall Systems, Residential Ceilings",Public Company,United States,Lancaster,EST
SiteOne Landscape Supply,3700,4500,Wholesale,"Irrigation, Outdoor Lighting, Nursery, Turf Protection and maintenance, Hardscapes, Landscape Supplies, Pest Control, Tools, Drainage, Agronomics",Public Company,United States,Roswell,EST
geidea,200,1200,Financial Services,"Point of Sale, payments , applications, Digital Banking",Privately Held,Saudi Arabia,Riyadh,AST
Valvoline Inc.,2300,7300,Retail,"Automotive maintenance, Engine maintenance, Fleet maintenance, Retail services",Public Company,United States,Lexington,EST
Commercial Metals Company,5800,8600,Construction,"Metals, Recycling, Fabrication, Distribution",Public Company,United States,Irving,EST
Gordon Food Service,14000,19000,Food & Beverages,"foodservice, restaurant supply, food and beverage distribution, retail stores, fundraising",Privately Held,United States,Grand Rapids,EST
LensCrafters,2500,12000,Retail Apparel and Fashion,"eyewear, eye care, retail, glasses, optometrist, optician, marketing, finance, real estate, information technology, accounting, sales",Public Company,United States,Cincinnati,EST
Bupa Arabia,3200,3000,Insurance,Health Insurance,Public Company,Saudi Arabia,Jeddah,AST
UniFirst Corporation,1800,14000,Textiles,"Uniforms, Uniform Rent, Lease, Buy Programs, Facility Services, Healthcare Apparel & Facility Services, Corporate Casual Attire, Standard Workwear, Protective Clothing, Industry Specific Programs, Workwear",Public Company,United States,Wilmington,EST
Astound Commerce,200,1200,IT Services and IT Consulting,"Global ecommerce Solutions, ecommerce Pioneers, Digital Strategy, Demandware Premier Partner, Online Sales, Client Online Experience Perfection, Engeneering Talant, Top ecommerce Platforms, ecommerce Delivery, Rapid Launch, ecommerce Operations Support, ux design, UI Optimization, Digital Marketing, Salesforce Commerce Cloud, Magento, Demandware, ecommerce, digital commerce",Privately Held,United States,New York,EST
Saudi Company For Hardware - SACO,800,3000,Retail,"Home improvement, Total Solutions, Bed & Bath, Electronics, Home Finishing, Paint & Sundries, Plumbing, Lawn & Garden, Furniture, Toys & Games, Sports Equipment, Mobiles, Technology",Public Company,Saudi Arabia,Riyadh,AST
TIC - The Industrial Company,3000,9000,Construction,"Power (including Renewable Energy), Mining/Minerals Processing, Oil, Gas & Chemical, Food and Beverage processing, Pulp & Paper",Privately Held,United States,Englewood,EST
Marathon Oil Corporation,5400,2300,Oil and Gas,"Exploration, Production",Public Company,United States,Houston,EST
Dealertrack,1200,5000,Software Development,"Automotive, Technology, Lender Solutions, Dealer Solutions, F&I, Registration and Title, Titling, eContracting, Digital Contracting, Compliance, Remote Signing",Privately Held,United States,North Hills,EST
Day & Zimmermann,2800,23000,Construction,"Construction, Engineering, Staffing, Security, Defense, Operations & Maintenance",Privately Held,United States,Philadelphia,EST
Ricoh Latin America Inc,1500,3200,IT Services and IT Consulting,,Privately Held,United States,Weston,EST
"Cheney Brothers, Inc.",2500,3500,Food and Beverage Services,"Food & Beverage Service & Distribution, Hospitality, Foodservice",Privately Held,United States,Riviera Beach,EST
Ditch Witch,900,1500,Machinery,"Directional Drills, Trenchers, Vacuum Excavation, HDD Tooling, Mini Skid Steers",Public Company,United States,Perry,EST
Havertys Furniture,1200,3200,Furniture and Home Furnishings Manufacturing,,Public Company,United States,Atlanta,EST
Stater Bros. Markets,4100,18000,Retail,"Organic supermarket, Community outreach, Fresh produce, Organic produce, Quality meats, Vegan options, Gluten Free options",Privately Held,United States,San Bernardino,EST
The Davey Tree Expert Company,1300,9500,Environmental Services,"tree services, grounds maintenance, environmental consulting services",Privately Held,United States,Kent,EST
BEEAH Group,600,1200,Environmental Services,"Air Quality Monitoring and management, Environmental Education, CSR initiatives, energy, Sustainable transportation, waste management, environmental consultancy services, waste to energy, water quality, recycling, Digitalization, Sustainability , Renewable Energy",Partnership,United Arab Emirates,Sharjah,GST
International Justice Mission,100,600,Non-profit Organizations,"Human Rights, Anti-slavery, Justice, Legal Aid",Nonprofit,United States,Arlington,EST
SS&C Intralinks,800,2200,Financial Services,"Virtual Data Room, Content Management, Syndicated Lending, Cybersecurity, Corporate Development, Mergers & Acquisitions, Deal Management, Transaction Facilitation, Investor Portals, Due Dilligence, Artificial Intelligence, Deal Sourcing, M&A Lifecycle Collaboration, Protected Data Access, Business Intelligence, Corporate Development, Online Data Room, Computer Software, Venture Capital",Public Company,United States,New York,EST
Tredence Inc.,300,1300,Business Consulting and Services,"Advanced Analytics, Analytics Consulting, Machine Learning, Data Management, Analytics Solutions, AI Consulting, Customer Analytics, Data Engineering, Supply Chain Analytics, Customer Experience Analytics, AI Engineering",Privately Held,United States,San Jose,EST
Cytel,200,1400,Pharmaceutical Manufacturing,"Adaptive Clinical Trials, Clinical Research Services, Trial Design and Analysis Software, Statistical Programming, Strategic Consulting, DMC Support, Program and Portfolio Optimization, Clinical Data Management, CV Outcomes Studies, Regulatory Submissions, Real World Analytics, HEOR, Bayesian Clinical Trials, FSP, Project Based Services, Advanced Analytics ",Privately Held,United States,Waltham,EST
Comcast Business,14000,91000,Telecommunications,"Business Phone, Broadband Internet, Ethernet Data Service, Business TV",Public Company,United States,Philadelphia,EST
Arizona Public Service - APS,3400,6100,Utilities,,Public Company,United States,Phoenix,EST
"Volkswagen of America, Inc",9600,3000,Automotive,,Public Company,United States,Herndon,EST
Gexpro,2500,2300,"Appliances, Electrical, and Electronics Manufacturing","Electrical, supplies, Supply, Chain, Hardware, Wire, Conduit, Lighting, Lamps, Distribution, Fasteners, Lean, Energy Storage",Public Company,United States,Shelton,EST
NetJets,2200,1300,Aviation and Aerospace Component Manufacturing,"Private Aviation, Fractional Aircraft Ownership, Private Jet Leases, Jet Cards",Privately Held,United States,Columbus,EST
Pierce Manufacturing,500,200,Motor Vehicle Manufacturing,Fire and Emergency,Public Company,United States,Appleton,EST
"Newport News Shipbuilding, A Division of HII",4800,25000,Defense and Space Manufacturing,"U.S. Navy Aircraft Ford-class Aircraft Carriers, U.S. Navy Virginia-class Submarines, U.S. Navy Refueling and Complex Overhaul (RCOH), Submarine Fleet Services",Public Company,United States,Newport News,EST
Sportsman's Warehouse,3400,8000,Retail,"Retail, Outdoor, Sporting, Goods, Hunting, Firearms, Reloading, Fishing, Camping, Optics, Outerwear, Footwear",Public Company,United States,West Jordan,EST
